application_domain,task_type,QA_list,model_response
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.02, 0.01, 0.0, 0.0, 0.01, 0.0, 0.01, -0.02, 0.01, -0.02, -0.01, -0.04, -0.04, -0.05, -0.07, -0.06, -0.07, -0.06, -0.05, -0.01, -0.03, -0.01, 0.01, 0.02, 0.02, 0.03, 0.03, 0.04, 0.03, 0.02, 0.05, 0.03, 0.04, 0.04, 0.04, 0.02, 0.04, 0.02, 0.04, -0.01, 0.02, -0.01, 0.0, -0.01, 0.0, 0.0, -0.01, -0.01, -0.03, -0.01, -0.04, -0.02, -0.04, -0.04, -0.05, -0.04, -0.03, -0.05, -0.04, -0.03, 0.03, 0.02, 0.06, 0.05]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [9.375, 8.5625, 8.5, 7.3125, 9.1875, 9.5625, 5.0625, 9.625, 8.3125, 7.8125, 8.375, 7.9375, 8.1875, 6.5625, 9.375, 8.375]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.03, -0.05, -0.04, -0.06, -0.08, -0.1, -0.07, -0.08, -0.06, -0.05, -0.02, -0.01, 0.0, -0.01, 0.01, 0.01, 0.02, 0.01, 0.0, -0.01, 0.0, 0.01, 0.01, 0.01, 0.0, -0.01, 0.0, 0.01, 0.0, 0.0, 0.0, -0.01, -0.03, 0.0, -0.01, 0.0, -0.01, -0.03, -0.02, -0.03, -0.02, -0.04, -0.03, -0.03, -0.04, -0.04, -0.05, -0.05, -0.03, -0.03, -0.04, -0.04, -0.03, -0.01, 0.0, 0.0, 0.02, 0.05, 0.06, -0.01, -0.02, -0.09, -0.11, -0.1]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-4.76, -4.93, -4.76, -4.61, -5.08, -4.89, -4.8, -4.9, -5.04, -4.76, -4.62, -4.72, -5.02, -4.82, -4.96, -4.83]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [34.37, 33.45, 34.98, 32.78, 32.84, 33.54, 36.03, 34.62, 33.99, 33.37, 32.73, 31.9, 33.64, 33.02, 35.41, 35.93]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [4.3, 4.36, 4.28, 4.24, 4.26, 4.0, 4.14, 4.3, 4.44, 4.5, 4.56, 4.49, 4.46, 4.78, 4.49, 4.52]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-4.62, -4.71, -4.3, -4.47, -4.35, -4.29, -4.36, -4.33, -4.36, -4.26, -4.36, -4.42, -4.25, -4.26, -4.23, -4.29]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [-3.7, -3.66, -3.76, -3.79, -3.83, -3.72, -3.8, -3.82, -3.8, -3.81, -3.82, -3.89, -3.88, -3.83, -3.94, -3.98]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Anomaly</answer>
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.03, -0.02, -0.01, 0.0, 0.02, 0.01, 0.02, 0.02, 0.04, 0.03, 0.05, 0.05, 0.06, 0.06, 0.05, 0.05, 0.06, 0.06, 0.05, 0.05, 0.01, 0.01, -0.01, -0.02, -0.04, -0.04, -0.03, -0.04, -0.03, -0.01, 0.02, 0.04, 0.05, 0.05, 0.06, 0.05, 0.06, 0.06, 0.07, 0.06, 0.07, 0.07, 0.06, 0.07, 0.06, 0.07, 0.06, 0.05, 0.06, 0.05, 0.05, 0.06, 0.05, 0.05, 0.06, 0.04, 0.07, 0.04, 0.06, 0.05, 0.06, 0.04, 0.06, 0.05]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
AIOps,anomaly detection,"""question"": ""This data originates from monitoring systems and devices, and it is used to evaluate system performance or detect anomalies in time series. It also assesses the health and operational performance of devices or services. The dataset includes IOPS metrics recorded during the operation of storage systems or servers. Using this data, we can determine whether anomalies have occurred within the system. The input Time Serie is [26.14, 25.8, 23.49, 23.67, 23.16, 24.57, 22.65, 23.6, 23.29, 23.4, 22.49, 24.17, 25.29, 23.26, 23.73, 24.68]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Normal</answer>
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [40499.6511012937, 40251.6052000635, 40824.5512211459, 40464.7877623312, 40707.627496465095, 40702.5047035317, 40147.0496503741, 40792.1342202696]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
Environment,anomaly detection,"""question"": ""The following data is derived from an environmental monitoring wireless sensor network system designed to collect environmental data with high spatial and temporal resolution. It has been deployed in mountainous and urban areas. Specifically, it includes environmental parameters such as temperature, humidity, wind speed, and soil moisture. Using this data, it is possible to determine whether abnormal events are present in the environment. The input Time Serie is [5.58, 5.2, 5.1, 5.22, 5.19, 5.1, 5.2, 5.14, 5.17, 5.26, 5.38, 5.58, 5.48, 5.48, 5.54, 5.58]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
The Web,anomaly detection,"""question"": ""This dataset includes data from Yahoo's servers and various service metrics, allowing us to assess the operational status of the related equipment based on the information provided. The input Time Serie is [1245.6807958553, 1266.29753420217, 1113.77548186298, 801.7630221968719, 405.60360161965895, -1448.06980044825, -22.677718655523, -25.0577535318883]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Anomaly Point.""",<answer>Anomaly</answer>
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [0.04, 0.03, 0.04, 0.04, 0.03, 0.02, 0.03, 0.04, 0.04, 0.03, 0.03, 0.04, 0.03, 0.04, 0.04, 0.03, 0.03, 0.04, 0.04, 0.02, 0.04, 0.04, 0.04, 0.01, 0.04, 0.04, 0.03, 0.02, 0.03, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.02, 0.01, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.01, 0.01, -0.01, 0.01, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, 0.02, 0.04, 0.0, 0.05, 0.0, -0.04, -0.11, -0.09, -0.08, -0.07]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Anomaly</answer>
Healthcare,anomaly detection,"""question"": ""The following data represents ECG (Electrocardiogram) signals, which record the electrical activity of the heart during each heartbeat and serve as an important tool for diagnosing heart diseases. Using a signal sampled at a frequency of 500 Hz, we can determine whether abnormalities are present in the human body. The input Time Serie is [-0.11, -0.1, -0.06, -0.04, -0.02, -0.01, -0.01, -0.01, -0.02, -0.02, 0.0, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.04, -0.03, -0.03, -0.02, -0.01, 0.0, -0.01, -0.03, 0.0, 0.0, -0.01, -0.01, -0.01, -0.01, 0.01, -0.01, -0.01, -0.01, 0.0, 0.0, 0.01, 0.0, -0.01, -0.01, 0.01, 0.0, 0.02, 0.01, -0.01, 0.01, 0.0, 0.02, 0.0, 0.0, -0.01, 0.0, 0.01, -0.01, 0.01, -0.02, 0.0, 0.02, 0.0, 0.04, -0.01, 0.05]. Please determine whether there are anomalies in this time series given information above."", ""answer"": ""Based on the given information, this time series includes Normal Point.""",<answer>Normal</answer>
